ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Sex,Education,Old_Jobs
1,0.38,0.53,2,157,3,0,1,0,sales,,0,4,3
2,0.8,0.86,5,262,6,0,1,0,sales,medium,1,4,3
3,0.11,0.88,7,272,4,0,1,0,sales,medium,,4,3
4,0.72,0.87,5,223,5,0,1,0,sales,,,4,3
5,0.37,0.52,2,159,3,0,1,0,sales,low,,4,3
6,0.41,0.5,2,153,3,0,1,0,sales,low,,4,3
7,0.1,0.77,6,247,4,0,1,0,sales,low,,4,3
8,0.92,0.85,5,259,5,0,1,0,sales,low,,4,3
9,0.89,1,5,224,5,0,1,0,sales,low,,4,3
10,0.42,0.53,2,142,3,0,1,0,sales,low,,4,3
11,0.45,0.54,2,135,3,0,1,0,sales,low,,4,3
12,0.11,0.81,6,305,4,0,1,0,sales,low,,4,3
13,0.84,0.92,4,234,5,0,1,0,sales,low,,4,3
14,0.41,0.55,2,148,3,0,1,0,sales,low,,4,3
15,0.36,0.56,2,137,3,0,1,0,sales,low,,4,3
16,0.38,0.54,2,143,3,0,1,0,sales,low,,4,3
17,0.45,0.47,2,160,3,0,1,0,sales,low,,4,3
18,0.78,0.99,4,255,6,0,1,0,sales,low,,4,3
19,0.45,0.51,2,160,3,1,1,1,sales,low,,4,3
20,0.76,0.89,5,262,5,0,1,0,sales,low,,4,3
21,0.11,0.83,6,282,4,0,1,0,sales,low,,4,3
22,0.38,0.55,2,147,3,0,1,0,sales,low,,4,3
23,0.09,0.95,6,304,4,0,1,0,sales,low,,4,3
24,0.46,0.57,2,139,3,0,1,0,sales,low,,4,3
25,0.4,0.53,2,158,3,0,1,0,sales,low,,4,3
26,0.89,0.92,5,242,5,0,1,0,sales,low,,4,3
27,0.82,0.87,4,239,5,0,1,0,sales,low,,4,3
28,0.4,0.49,2,135,3,0,1,0,sales,low,,4,3
29,0.41,0.46,2,128,3,0,1,0,accounting,low,,4,3
30,0.38,0.5,2,132,3,0,1,0,accounting,low,,4,3
31,0.09,0.62,6,294,4,0,1,0,accounting,low,,4,3
32,0.45,0.57,2,134,3,0,1,0,hr,low,,4,3
33,0.4,0.51,2,145,3,0,1,0,hr,low,,4,3
34,0.45,0.55,2,140,3,0,1,0,hr,low,,4,3
35,0.84,0.87,4,246,6,0,1,0,hr,low,,4,3
36,0.1,0.94,6,255,4,0,1,0,technical,low,,4,3
37,0.38,0.46,2,137,3,0,1,0,technical,low,,4,3
38,0.45,0.5,2,126,3,0,1,0,technical,low,,4,3
39,0.11,0.89,6,306,4,0,1,0,technical,low,,4,3
40,0.41,0.54,2,152,3,0,1,0,technical,low,,4,3
41,0.87,0.88,5,269,5,0,1,0,technical,low,,4,3
42,0.45,0.48,2,158,3,0,1,0,technical,low,,4,3
43,0.4,0.46,2,127,3,0,1,0,technical,low,,4,3
44,0.1,0.8,7,281,4,0,1,0,technical,low,,4,3
45,0.09,0.89,6,276,4,0,1,0,technical,low,,4,3
46,0.84,0.74,3,182,4,0,1,0,technical,low,,4,3
47,0.4,0.55,2,147,3,0,1,0,support,low,,4,3
48,0.57,0.7,3,273,6,0,1,0,support,low,,4,3
49,0.4,0.54,2,148,3,0,1,0,support,low,,4,3
50,0.43,0.47,2,147,3,0,1,0,support,low,,4,3
51,0.13,0.78,6,152,2,0,1,0,support,low,,4,3
52,0.44,0.55,2,135,3,0,1,0,support,low,,4,3
53,0.38,0.55,2,134,3,0,1,0,support,low,,4,3
54,0.39,0.54,2,132,3,0,1,0,support,low,,4,3
55,0.1,0.92,7,307,4,0,1,0,support,low,,4,3
56,0.37,0.46,2,140,3,0,1,0,support,low,,4,3
57,0.11,0.94,7,255,4,0,1,0,support,low,,4,3
58,0.1,0.81,6,309,4,0,1,0,technical,low,,4,3
59,0.38,0.54,2,128,3,0,1,0,technical,low,,4,3
60,0.85,1,4,225,5,0,1,0,technical,low,,4,3
61,0.85,0.91,5,226,5,0,1,0,management,medium,,4,3
62,0.11,0.93,7,308,4,0,1,0,IT,medium,,4,3
63,0.1,0.95,6,244,5,0,1,0,IT,medium,,4,3
64,0.36,0.56,2,132,3,0,1,0,IT,medium,,4,3
65,0.11,0.94,6,286,4,0,1,0,IT,medium,,4,3
66,0.81,0.7,6,161,4,0,1,0,IT,medium,,4,3
67,0.43,0.54,2,153,3,0,1,0,product_mng,medium,,4,3
68,0.9,0.98,4,264,6,0,1,0,product_mng,medium,,4,3
69,0.76,0.86,5,223,5,1,1,0,product_mng,medium,,4,3
70,0.43,0.5,2,135,3,0,1,0,product_mng,medium,,4,3
71,0.74,0.99,2,277,3,0,1,0,IT,medium,,4,3
72,0.09,0.77,5,275,4,0,1,0,product_mng,medium,,4,3
73,0.45,0.49,2,149,3,0,1,0,product_mng,high,,4,3
74,0.09,0.87,7,295,4,0,1,0,product_mng,low,,4,3
75,0.11,0.97,6,277,4,0,1,0,product_mng,medium,,4,3
76,0.11,0.79,7,306,4,0,1,0,product_mng,medium,,4,3
77,0.1,0.83,6,295,4,0,1,0,product_mng,medium,,4,3
