ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical,high,low,medium,left
1,0.38,0.53,2,157,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2,0.8,0.86,5,262,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3,0.11,0.88,7,272,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4,0.72,0.87,5,223,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
5,0.37,0.52,2,159,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
6,0.41,0.5,2,153,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
7,0.1,0.77,6,247,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
8,0.92,0.85,5,259,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
9,0.89,1,5,224,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
10,0.42,0.53,2,142,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
11,0.45,0.54,2,135,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
12,0.11,0.81,6,305,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
13,0.84,0.92,4,234,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
14,0.41,0.55,2,148,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
15,0.36,0.56,2,137,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
16,0.38,0.54,2,143,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
17,0.45,0.47,2,160,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
18,0.78,0.99,4,255,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
19,0.45,0.51,2,160,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
20,0.76,0.89,5,262,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21,0.11,0.83,6,282,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
22,0.38,0.55,2,147,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
23,0.09,0.95,6,304,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
24,0.46,0.57,2,139,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
25,0.4,0.53,2,158,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
26,0.89,0.92,5,242,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
27,0.82,0.87,4,239,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
28,0.4,0.49,2,135,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
